iso,country,year,scenario,anomaly
CAN,Canada,2024,ssp126,1.36
CAN,Canada,2025,ssp126,1.417
CAN,Canada,2026,ssp126,1.473
CAN,Canada,2027,ssp126,1.53
CAN,Canada,2028,ssp126,1.587
CAN,Canada,2029,ssp126,1.643
CAN,Canada,2030,ssp126,1.7
CAN,Canada,2031,ssp126,1.705
CAN,Canada,2032,ssp126,1.71
CAN,Canada,2033,ssp126,1.715
CAN,Canada,2034,ssp126,1.72
CAN,Canada,2035,ssp126,1.725
CAN,Canada,2036,ssp126,1.73
CAN,Canada,2037,ssp126,1.735
CAN,Canada,2038,ssp126,1.74
CAN,Canada,2039,ssp126,1.745
CAN,Canada,2040,ssp126,1.75
CAN,Canada,2041,ssp126,1.755
CAN,Canada,2042,ssp126,1.76
CAN,Canada,2043,ssp126,1.765
CAN,Canada,2044,ssp126,1.77
CAN,Canada,2045,ssp126,1.775
CAN,Canada,2046,ssp126,1.78
CAN,Canada,2047,ssp126,1.785
CAN,Canada,2048,ssp126,1.79
CAN,Canada,2049,ssp126,1.795
CAN,Canada,2050,ssp126,1.8
CAN,Canada,2051,ssp126,1.805
CAN,Canada,2052,ssp126,1.81
CAN,Canada,2053,ssp126,1.815
CAN,Canada,2054,ssp126,1.82
CAN,Canada,2055,ssp126,1.825
CAN,Canada,2056,ssp126,1.83
CAN,Canada,2057,ssp126,1.835
CAN,Canada,2058,ssp126,1.84
CAN,Canada,2059,ssp126,1.845
CAN,Canada,2060,ssp126,1.85
CAN,Canada,2061,ssp126,1.855
CAN,Canada,2062,ssp126,1.86
CAN,Canada,2063,ssp126,1.865
CAN,Canada,2064,ssp126,1.87
CAN,Canada,2065,ssp126,1.875
CAN,Canada,2066,ssp126,1.88
CAN,Canada,2067,ssp126,1.885
CAN,Canada,2068,ssp126,1.89
CAN,Canada,2069,ssp126,1.895
CAN,Canada,2070,ssp126,1.9
CAN,Canada,2071,ssp126,1.905
CAN,Canada,2072,ssp126,1.91
CAN,Canada,2073,ssp126,1.915
CAN,Canada,2074,ssp126,1.92
CAN,Canada,2075,ssp126,1.925
CAN,Canada,2076,ssp126,1.93
CAN,Canada,2077,ssp126,1.935
CAN,Canada,2078,ssp126,1.94
CAN,Canada,2079,ssp126,1.945
CAN,Canada,2080,ssp126,1.95
CAN,Canada,2081,ssp126,1.955
CAN,Canada,2082,ssp126,1.96
CAN,Canada,2083,ssp126,1.965
CAN,Canada,2084,ssp126,1.97
CAN,Canada,2085,ssp126,1.975
CAN,Canada,2086,ssp126,1.98
CAN,Canada,2087,ssp126,1.985
CAN,Canada,2088,ssp126,1.99
CAN,Canada,2089,ssp126,1.995
CAN,Canada,2090,ssp126,2.0
CAN,Canada,2091,ssp126,2.0
CAN,Canada,2092,ssp126,2.0
CAN,Canada,2093,ssp126,2.0
CAN,Canada,2094,ssp126,2.0
CAN,Canada,2095,ssp126,2.0
CAN,Canada,2096,ssp126,2.0
CAN,Canada,2097,ssp126,2.0
CAN,Canada,2098,ssp126,2.0
CAN,Canada,2099,ssp126,2.0
